Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-527,1131152373426,mpv,KHM,KHM01,38352,,MPVSP_KHM_00012,00012,A
IMPORT-526,1131152373422,mpv,KHM,KHM01,38348,,MPVSP_KHM_00008,00008,A
IMPORT-525,1131152373421,mpv,KHM,KHM01,38347,,MPVSP_KHM_00007,00007,B1
IMPORT-524,1131152373420,mpv,KHM,KHM01,38346,,MPVSP_KHM_00006,00006,A1
IMPORT-523,1131152373419,mpv,KHM,KHM01,38345,,MPVSP_KHM_00005,00005,
IMPORT-522,1131152373418,mpv,KHM,KHM01,38344,,MPVSP_KHM_00004,00004,
IMPORT-521,1131152373416,mpv,KHM,KHM01,38342,,MPVSP_KHM_00002,00002,
IMPORT-520,1131152373415,mpv,KHM,KHM01,38341,,MPVSP_KHM_00001,00001,
IMPORT-519,1129841659627,mpv,MPV,MPV05,36595,,MPVSP_MPV_00105,00105,
IMPORT-518,1129841659623,mpv,MPV,MPV05,36591,,MPVSP_MPV_00101,00101,
IMPORT-517,1129763885390,mpv,MPV,MPV04,36155,MPV_batch2,MPVSP_MPV_00092,00092,
IMPORT-516,1129763885356,mpv,MPV,MPV04,36153,MPV_batch2,MPVSP_MPV_00090,00090,
IMPORT-515,1129763885355,mpv,MPV,MPV04,36152,MPV_batch2,MPVSP_MPV_00089,00089,
IMPORT-514,1129763885354,mpv,MPV,MPV04,36151,MPV_batch2,MPVSP_MPV_00088,00088,
IMPORT-513,1129763885352,mpv,MPV,MPV04,36149,MPV_batch2,MPVSP_MPV_00086,00086,
IMPORT-512,1129763885335,mpv,MPV,MPV04,36148,MPV_batch2,MPVSP_MPV_00085,00085,
IMPORT-511,1129763885334,mpv,MPV,MPV04,36147,MPV_batch2,MPVSP_MPV_00084,00084,
IMPORT-510,1127793796639,mpv,MPV,MPV03,35763,,MPVSP_MPV_00082,00082,2
IMPORT-509,1127793796638,mpv,MPV,MPV03,35762,,MPVSP_MPV_00081,00081,2
IMPORT-508,1127793796637,mpv,MPV,MPV03,35761,,MPVSP_MPV_00080,00080,2
IMPORT-507,1127793796636,mpv,MPV,MPV03,35760,MPV_batch2,MPVSP_MPV_00079,00079,2
IMPORT-506,1127793796634,mpv,MPV,MPV03,35758,,MPVSP_MPV_00077,00077,2
IMPORT-505,1127793796633,mpv,MPV,MPV03,35757,,MPVSP_MPV_00076,00076,2
IMPORT-504,1127793796632,mpv,MPV,MPV03,35756,,MPVSP_MPV_00075,00075,2
IMPORT-503,1127793796631,mpv,MPV,MPV03,35755,,MPVSP_MPV_00074,00074,2
IMPORT-502,1127793796630,mpv,MPV,MPV03,35754,MPV_batch1,MPVSP_MPV_00073,00073,2
